,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE
FTL,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLA-A,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ARPC1B,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
TMSB10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
VIM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
B2M,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PFN1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PIM1,9,9,8,8,9,9,10,10,8,10,9,9,9,10,8,9,9,10
RAB8B,9,9,8,8,9,9,10,9,9,9,10,8,10,7,9,10,10,10
ZYX,8,9,10,10,10,10,8,9,9,8,9,7,10,10,9,10,10,8
MAN2A1,9,9,9,9,9,9,9,9,9,10,10,9,10,8,9,9,9,9
LY6E,7,9,9,9,9,9,9,9,9,9,10,9,10,8,10,10,10,10
MYO9B,8,9,8,8,9,9,8,8,9,10,10,10,10,10,9,10,10,10
STK10,9,9,8,8,9,10,10,10,8,10,10,9,9,10,8,9,10,10
SOD2,7,9,9,8,10,10,8,8,10,10,9,9,10,10,10,10,10,9
ARAP1,8,9,8,7,10,10,9,8,10,9,9,10,10,10,9,10,10,10
ISG15,9,9,9,10,9,10,10,9,8,9,10,9,9,10,9,8,9,10
GNA13,9,9,8,8,9,9,10,9,9,10,10,9,10,9,9,9,10,10
GADD45B,9,9,9,9,9,9,10,9,9,9,9,10,10,10,9,8,10,10
CDC42SE1,9,9,8,7,9,9,9,10,9,10,10,10,10,10,8,10,10,10
TLN1,7,9,9,9,9,9,8,7,10,10,10,10,10,10,10,10,10,10
NUCB1,7,9,9,9,10,9,8,8,10,9,9,10,10,10,10,10,10,10
ARHGEF2,8,9,8,8,9,9,8,8,10,10,10,10,10,10,10,10,10,10
POLD4,10,9,9,9,10,10,8,9,9,9,9,10,10,10,9,10,9,9
CFLAR,8,9,8,7,9,10,10,9,10,10,10,10,10,10,9,10,10,10
DDIT4,9,9,10,9,9,9,10,9,10,10,10,10,9,10,10,7,10,10
DUSP1,9,9,10,10,8,10,8,9,10,10,10,10,10,10,10,8,10,10
CNN2,10,9,10,10,8,9,9,10,9,10,10,10,9,10,10,9,10,10
BLOC1S1,9,9,9,9,10,10,9,9,10,9,10,9,10,10,10,10,10,10
IFITM2,10,9,10,10,9,10,10,10,10,10,10,9,9,10,10,7,10,10
MYH9,9,9,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10
